starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:11 2021	1627975931	0	778	778	778
Tue Aug 03 16:32:14 2021	1627975934	0	778	778	778
Tue Aug 03 16:32:08 2021	1627975928	0	778	778	778
Tue Aug 03 16:32:10 2021	1627975930	0	778	778	777
Tue Aug 03 16:32:10 2021	1627975930	0	778	778	777
Tue Aug 03 16:32:07 2021	1627975927	0	778	778	772
Tue Aug 03 16:32:13 2021	1627975933	0	778	779	778
Tue Aug 03 16:32:06 2021	1627975926	0	778	779	778
Tue Aug 03 16:32:08 2021	1627975928	0	778	779	777
Tue Aug 03 16:32:06 2021	1627975926	0	779	779	778
Tue Aug 03 16:32:00 2021	1627975920	0	779	779	778
Tue Aug 03 16:32:05 2021	1627975925	0	779	779	778
Tue Aug 03 16:32:01 2021	1627975921	0	779	779	778
Tue Aug 03 16:32:12 2021	1627975932	0	779	779	778
Tue Aug 03 16:32:12 2021	1627975932	0	779	779	778
Tue Aug 03 16:32:09 2021	1627975929	0	779	779	779
Tue Aug 03 16:32:13 2021	1627975933	0	779	779	778
Tue Aug 03 16:32:07 2021	1627975927	0	779	779	779
Tue Aug 03 16:32:04 2021	1627975924	0	779	779	778
Tue Aug 03 16:32:00 2021	1627975920	0	779	779	778
Tue Aug 03 16:32:11 2021	1627975931	0	779	779	779
Tue Aug 03 16:32:06 2021	1627975926	0	779	779	779
Tue Aug 03 16:32:02 2021	1627975922	0	779	779	779
Tue Aug 03 16:32:05 2021	1627975925	0	779	779	778
Tue Aug 03 16:32:12 2021	1627975932	0	779	779	779
Tue Aug 03 16:32:07 2021	1627975927	0	779	780	779
Tue Aug 03 16:32:00 2021	1627975920	0	779	780	779
Tue Aug 03 16:32:14 2021	1627975934	0	780	780	779
Tue Aug 03 16:32:13 2021	1627975933	0	780	780	779
Tue Aug 03 16:32:04 2021	1627975924	0	780	780	779
Tue Aug 03 16:32:12 2021	1627975932	0	780	780	779
Tue Aug 03 16:32:07 2021	1627975927	0	780	780	779
Tue Aug 03 16:32:13 2021	1627975933	0	780	780	780
Tue Aug 03 16:32:09 2021	1627975929	0	780	780	779
Tue Aug 03 16:32:02 2021	1627975922	0	780	780	772
Tue Aug 03 16:32:05 2021	1627975925	0	780	780	780
Tue Aug 03 16:32:09 2021	1627975929	0	780	780	780
